id,merchant_name,transaction_date,transaction_currency_code,acquirer_reference_number,transaction_type,primary_account_number,settlement_date,cardholder_name,cardholder_age,cardholder_country,transaction_amount,merchant_category_code,card_acceptor_id,year_month,signed_amount,transaction_sign,tier,tier_coeff
753,"Torres, Carrillo and Love",2023-10-10,840,5052761209281578,purchase,2292198655049448,2023-10-12,Andrew Sanford,45,India,205.04,9650,tPMykDmiky,2023-10,-205.04,credit,Gold,0.5
754,Macias-Wilson,2023-08-23,840,2231167870676353,purchase,2289792703352112,2023-08-23,Dana Oliver,41,124,331.74,4243,YAQiVvPJSu,2023-08,-331.74,credit,Titanium,1.0
755,"Hernandez, Shelton and Horn",2023-12-04,840,1859212684856371,purchase,2720808932460950,2023-12-06,Jason Beck,27,840,1220.5,0879,RNgVNAjOpU,2023-12,-1220.5,credit,Titanium,1.0
756,"Miller, Burke and Fleming",2024-01-07,840,3000375398923132,purchase,2703673657661567,2024-01-09,David Mckay,57,978,541.22,4338,vZpiUsDlxQ,2024-01,-541.22,credit,Gold,0.5
757,Schmidt-Walker,2023-06-24,840,6932784178376591,top up,2260438427978815,2023-06-26,Debra Daniels,64,840,737.43,4303,efTxQHFzbx,2023-06,737.43,debit,Platinum,0.75
758,Ritter-Nelson,2024-07-22,840,0114065266426735,purchase,2255769475769459,2024-07-24,Heather Allen,39,Heard Island and McDonald Islands,214.3,6986,ZeBnriflvs,2024-07,-214.3,credit,Silver,
759,Nichols Inc,2024-02-22,840,4553375656976487,payroll,5590422842102056,2024-02-23,Cynthia Morris,19,504,8990.0,9594,nNYnRfpiNt,2024-02,8990.0,debit,Titanium,1.0
760,Johnston-Sanders,2025-05-10,840,2494510462506929,payroll,2590807595794728,2025-05-11,Dr. Diana Walker,24,504,3957.0,9310,vCfKDplmTJ,2025-05,3957.0,debit,Platinum,0.75
761,Cruz LLC,2023-12-03,840,1206276729350979,purchase,2606174451870536,2023-12-05,Richard Stevenson,29,840,715.68,0489,mpYkAhtXut,2023-12,-715.68,credit,Platinum,0.75
762,"Pacheco, Chavez and Gutierrez",2023-10-23,840,2129146502234778,withdrawal,2227206724004995,2023-10-25,William Mitchell,66,504,489.53,7310,bIPRUhFHwk,2023-10,-489.53,credit,Titanium,1.0
763,Green-Richard,2025-01-19,840,4579725184070339,payroll,5511587184523543,2025-01-21,Casey Small,62,Madagascar,1444.81,7017,mPkPRbSHAY,2025-01,1444.81,debit,Platinum,0.75
764,"Hoover, Walker and Wallace",2024-01-31,840,8233720945167670,purchase,5367190229413187,2024-02-01,Lisa Gibbs,21,978,52.76,7296,zRuAmmDahr,2024-01,-52.76,credit,Titanium,1.0
765,Brewer Inc,2025-04-17,840,2863011220084842,top up,5239652239559057,2025-04-19,Kristy Hart,29,504,755.5,5278,ebxuPHQccb,2025-04,755.5,debit,Platinum,0.75
766,Webb Ltd,2025-04-25,840,3367960828967136,payroll,2713308330165714,2025-04-27,Brenda Oconnell,47,840,9707.8,6245,vtqVGDygRZ,2025-04,9707.8,debit,Titanium,1.0
767,"Schwartz, Martinez and Sellers",2023-11-03,840,9469208564901324,withdrawal,2720379660334197,2023-11-05,Shane Lopez,45,504,240.74,6817,kcmhmyNwwT,2023-11,-240.74,credit,Titanium,1.0
768,"Rowe, Thompson and Le",2023-09-07,840,5001154617580803,purchase,2703667428604765,2023-09-07,Tonya Vega,55,978,609.96,9297,YpwiUxNwQR,2023-09,-609.96,credit,Platinum,0.75
769,Casey and Sons,2025-02-12,840,4410404315668513,purchase,2233222739389927,2025-02-14,Jack Wells,64,Puerto Rico,38.83,2366,fGwcEzfdJD,2025-02,-38.83,credit,Platinum,0.75
770,"Walker, Estes and Byrd",2025-02-08,840,4837475580309016,payroll,5282697182360108,2025-02-10,Christopher Garcia DDS,30,Zambia,2367.64,2176,TWqIqXzEmu,2025-02,2367.64,debit,Platinum,0.75
771,Anderson-Clark,2024-04-18,840,7177840190271698,purchase,5354379937124062,2024-04-19,Manuel Brock,28,978,464.04,3222,TGbOgWMsqj,2024-04,-464.04,credit,Titanium,1.0
772,"Mooney, Hodge and Knight",2024-02-03,840,7161158668611997,purchase,2229975585566593,2024-02-05,Joshua Brooks,58,978,72.52,2256,dylNvnxPdy,2024-02,-72.52,credit,Titanium,1.0
773,Delgado LLC,2024-01-02,840,3261705058353458,purchase,2247311804674133,2024-01-03,Michael Perez,42,Monaco,64.66,2013,XylzQdGYsQ,2024-01,-64.66,credit,Gold,0.5
774,Duncan Ltd,2024-03-16,840,7285353399824266,purchase,5433959629233092,2024-03-17,Douglas Ryan,68,124,379.98,7561,uUrYEcxuqK,2024-03,-379.98,credit,Titanium,1.0
775,Zuniga Ltd,2023-07-06,840,5801584668793030,payroll,2248677496499099,2023-07-07,Annette Farmer,42,504,7638.4,6601,UreeKXRvvB,2023-07,7638.4,debit,Titanium,1.0
776,Hudson Ltd,2023-12-07,840,2727669834515025,purchase,2222228160648429,2023-12-08,Ryan Smith,24,978,23.7,1969,nLuCJFwZld,2023-12,-23.7,credit,Platinum,0.75
777,Shepherd Inc,2024-05-15,840,6130873089720738,top up,2229182688615332,2024-05-16,Erin Carter,53,124,2461.47,4262,QaeNPFgiUQ,2024-05,2461.47,debit,Gold,0.5
778,Simmons Group,2023-07-07,840,7118425278630900,purchase,5324139369678978,2023-07-08,Keith Mills,28,Cuba,1041.97,3192,iCPyRWbDvS,2023-07,-1041.97,credit,Gold,0.5
779,"Nichols, Alvarez and Stephens",2024-07-31,840,0242344730577719,purchase,2535454948083133,2024-07-31,Katherine Chang,33,504,266.96,5339,SStmhMfOXy,2024-07,-266.96,credit,Titanium,1.0
780,Aguirre-Nelson,2024-02-06,840,9971659656676409,purchase,2274308952312025,2024-02-07,Benjamin Wilkinson,68,Singapore,36.47,4974,EaTdaiAJDz,2024-02,-36.47,credit,Platinum,0.75
781,Gardner-Farmer,2024-01-03,840,3440095224265379,top up,2719393305172899,2024-01-04,Matthew White,58,840,1731.77,7649,CLCtfAmywB,2024-01,1731.77,debit,Titanium,1.0
782,Scott LLC,2024-10-28,840,1914390705473601,purchase,5225922220644747,2024-10-28,Autumn Anderson,65,124,311.23,0063,wuSoEmcLVy,2024-10,-311.23,credit,Titanium,1.0
783,"Simmons, Lopez and Marshall",2023-12-08,840,1501016260080265,top up,2589940539103715,2023-12-10,Mark Ward,48,978,1284.77,1195,iKSyoundSx,2023-12,1284.77,debit,Platinum,0.75
784,Ball-White,2024-08-14,840,7597833548835719,purchase,2270461735743844,2024-08-14,James Johnson,46,840,324.43,5128,kDARnBtpfu,2024-08,-324.43,credit,Platinum,0.75
785,Hendricks-Oliver,2024-08-29,840,7914638664320317,payroll,2408668826343517,2024-08-31,Sarah Davis,62,124,2053.82,9465,zwsAQBptvW,2024-08,2053.82,debit,Titanium,1.0
786,Mcgee-Parker,2023-11-30,840,5282468549272400,purchase,2499813646225177,2023-12-01,Amber Ross,41,504,871.26,4149,hzKMLpWMpT,2023-11,-871.26,credit,Titanium,1.0
787,Jacobs Group,2024-04-01,840,0860146051908543,purchase,2254974394640887,2024-04-03,Danny Watkins,62,Macao,1201.14,3988,LrgpkgaWKC,2024-04,-1201.14,credit,Platinum,0.75
788,Johnson Inc,2025-01-04,840,0335636930100090,purchase,5502170754853466,2025-01-05,John Richards,49,Togo,75.19,0449,BtyejUNoKd,2025-01,-75.19,credit,Silver,
789,Thomas Ltd,2025-02-08,840,1878104802835415,payroll,2228636556472929,2025-02-10,Melissa Olsen,40,124,7611.3,5121,uEATIwmHMo,2025-02,7611.3,debit,Titanium,1.0
790,Aguilar-Burton,2023-10-05,840,9304376613662808,purchase,2454558845061591,2023-10-05,Kenneth Banks,55,978,184.78,7086,ZfKNneqTxJ,2023-10,-184.78,credit,Platinum,0.75
791,Green LLC,2023-12-28,840,6815947470531105,purchase,2535454948083133,2023-12-28,Katherine Chang,33,504,1062.45,6631,eoIJxdnslm,2023-12,-1062.45,credit,Titanium,1.0
792,Moore-Lambert,2025-02-12,840,0967397984218914,purchase,2402135569092756,2025-02-14,Phillip Berry,64,840,323.63,2033,tDslqAnPgb,2025-02,-323.63,credit,Titanium,1.0
793,Alvarado Ltd,2023-12-30,840,7650167671877628,purchase,5352621815997065,2024-01-01,Carmen Preston,61,978,966.74,9686,YIbcJYPuTT,2023-12,-966.74,credit,Platinum,0.75
794,Carroll LLC,2025-04-06,840,6885016276292266,purchase,2720473121727154,2025-04-07,Michelle Pierce,48,504,933.43,6902,ZPfPQFCseD,2025-04,-933.43,credit,Platinum,0.75
795,Chaney LLC,2023-12-01,840,9376165228989074,purchase,2222228160648429,2023-12-03,Ryan Smith,24,978,96.32,3502,oIYYxdkkJN,2023-12,-96.32,credit,Platinum,0.75
796,Myers-White,2023-12-14,840,2559777265976408,payroll,2715888794705517,2023-12-15,Lauren Robles,55,124,2743.6,7171,vTPSroFSAm,2023-12,2743.6,debit,Titanium,1.0
797,Logan-Diaz,2025-04-09,840,5014171657893912,payroll,2276913303033465,2025-04-11,Barry Schwartz,53,Paraguay,4321.0,0762,XENNwWupVd,2025-04,4321.0,debit,Gold,0.5
798,May-Clark,2023-09-22,840,1887114860050092,purchase,2297294667116849,2023-09-23,Sherry Gibson,50,978,1091.15,1239,JXqFkpbnrT,2023-09,-1091.15,credit,Platinum,0.75
799,Williams PLC,2025-04-22,840,8787570302930112,purchase,2228636556472929,2025-04-24,Melissa Olsen,40,124,322.99,4719,ZVZXbfDTkk,2025-04,-322.99,credit,Titanium,1.0
800,Carter LLC,2024-10-06,840,0742906952223369,payroll,2704969653287103,2024-10-06,Brittany Moore,32,978,1683.91,9990,QIDUXgEPOS,2024-10,1683.91,debit,Platinum,0.75
801,Summers-Gutierrez,2024-05-29,840,6200730242662497,payroll,5562174596158651,2024-05-31,Stacy Freeman,61,978,3024.0,9924,yoPZBUVFCB,2024-05,3024.0,debit,Titanium,1.0
802,Fuller-Morgan,2024-10-18,840,0571446956740687,top up,2264789856257535,2024-10-20,Terry Burnett,58,124,224.66,1225,McZLYSvyzW,2024-10,224.66,debit,Titanium,1.0
803,Marquez-Melendez,2024-06-28,840,4534514668865834,refund,5311554262218901,2024-06-30,Carly Bell,53,840,431.28,2373,OmCKXeYlgi,2024-06,-431.28,credit,Titanium,1.0
804,Krause Inc,2023-07-15,840,5862673664853207,top up,5206231203875093,2023-07-17,Taylor Durham,32,978,2494.52,8780,pSwSJAZVNd,2023-07,2494.52,debit,Platinum,0.75
805,Gibson Inc,2024-10-12,840,8943269834436958,purchase,5428801336138619,2024-10-13,Brittany Stevens,48,124,300.44,7403,MjwgLNNqSw,2024-10,-300.44,credit,Gold,0.5
806,"Flores, Blackwell and Duran",2023-09-26,840,5050928467200734,withdrawal,5231051834738299,2023-09-28,Dana Kennedy,48,840,57.16,7122,jFyVqpoJDl,2023-09,-57.16,credit,Platinum,0.75
807,Ward LLC,2023-09-15,840,9077372954503801,purchase,5492927524372800,2023-09-17,Bradley Thomas,34,504,363.3,2216,lyRuRZqLPy,2023-09,-363.3,credit,Titanium,1.0
808,Stout Ltd,2025-03-01,840,1502045028143531,purchase,2720379660334197,2025-03-03,Shane Lopez,45,504,149.77,0833,sstCbtGHFG,2025-03,-149.77,credit,Titanium,1.0
809,"Nielsen, Smith and Marshall",2024-08-18,840,3379531112359042,withdrawal,2276972521752504,2024-08-20,Donald Juarez,24,504,381.46,2059,RyXGRweNXu,2024-08,-381.46,credit,Platinum,0.75
810,"West, Scott and Miles",2023-10-05,840,2866251085738385,purchase,2284235733221415,2023-10-06,Kimberly Rodgers,41,504,369.85,2663,kMVuAorlCF,2023-10,-369.85,credit,Titanium,1.0
811,Norton-Moore,2024-05-13,840,6091935117455537,top up,2280723688767676,2024-05-13,Bradley Johnson DDS,23,124,519.93,5920,AfzwIfjZMi,2024-05,519.93,debit,Titanium,1.0
812,"Wood, Hardy and Moore",2023-06-01,840,7281673374612157,purchase,5218569454414963,2023-06-02,Michael Allen,67,504,130.32,9411,uXAncjLuuW,2023-06,-130.32,credit,Titanium,1.0
813,"Perkins, Hall and Sanchez",2024-10-08,840,6412608481876209,purchase,5352621815997065,2024-10-10,Carmen Preston,61,978,90.9,2629,UsQWlcByev,2024-10,-90.9,credit,Platinum,0.75
814,Hanson-Johnson,2024-10-07,840,1963039951670450,payroll,2591769367632016,2024-10-08,Colleen Brock,52,124,7924.5,8513,nUgoPIWccr,2024-10,7924.5,debit,Titanium,1.0
815,"York, Walker and Foley",2024-07-29,840,2673123438880485,purchase,2623076810409154,2024-07-31,Angel Meyer,50,504,409.36,1122,glYexVsGQh,2024-07,-409.36,credit,Gold,0.5
816,Zhang-Brady,2024-03-08,840,0259364502823134,withdrawal,2288268687640195,2024-03-09,Gabriel Hawkins,23,Azerbaijan,69.14,0062,KGFCOHEpuH,2024-03,-69.14,credit,Platinum,0.75
817,"Moyer, Little and Campbell",2024-01-20,840,6729911549044318,purchase,5311554262218901,2024-01-21,Carly Bell,53,840,752.24,6419,BUinsQlhNj,2024-01,-752.24,credit,Titanium,1.0
818,"Stark, Carroll and Atkins",2024-05-22,840,6953102977115062,payroll,2322132041042944,2024-05-23,Rebecca Rodriguez,30,Saint Martin,676.0,1179,CjWALNMNrK,2024-05,676.0,debit,Platinum,0.75
819,"Davis, Martin and Hale",2024-10-28,840,9265173281629108,purchase,5578755886753391,2024-10-30,Scott Jenkins,68,840,693.68,1800,oBBAbVSVkT,2024-10,-693.68,credit,Titanium,1.0
820,Smith and Sons,2023-05-12,840,1983691573767105,top up,2694484631224170,2023-05-12,Denise Dean,57,504,1244.37,2853,IzmgauOcuZ,2023-05,1244.37,debit,Gold,0.5
821,Sanchez-Moreno,2023-09-27,840,7074599153044500,purchase,2222228160648429,2023-09-29,Ryan Smith,24,978,823.32,3805,JSkAZNkQXK,2023-09,-823.32,credit,Platinum,0.75
822,"Lynch, Cruz and Clarke",2025-03-18,840,8387890345029586,purchase,2720007686276338,2025-03-18,Justin Preston,29,Turkmenistan,187.17,3376,VfGvOhOIZW,2025-03,-187.17,credit,Silver,
823,Thompson-Gibson,2025-02-11,840,0409346754182368,purchase,5510032365199418,2025-02-11,Austin Orr,43,978,551.16,3684,XgaemjQGYk,2025-02,-551.16,credit,Titanium,1.0
824,Love and Sons,2023-10-14,840,8272105133460184,purchase,2706801128059825,2023-10-14,Andrew Diaz,64,124,842.36,1883,wlDVMUeHEu,2023-10,-842.36,credit,Gold,0.5
825,"Everett, Smith and Cisneros",2024-11-11,840,8825320831681636,payroll,2238637940265423,2024-11-11,Phillip Garcia,22,504,4449.6,7761,PcBWOUxLka,2024-11,4449.6,debit,Titanium,1.0
826,"Castaneda, Day and Weaver",2024-03-31,840,7369078947672000,purchase,2708143192797610,2024-04-02,Jonathan Rodriguez,33,Nauru,307.44,4572,VRbTUjSzyx,2024-03,-307.44,credit,Platinum,0.75
827,Ferguson-Gallagher,2024-11-01,840,0707163485089512,purchase,2469453147379961,2024-11-02,Johnny Nguyen,41,124,5.42,9591,iuCntNGLKk,2024-11,-5.42,credit,Gold,0.5
828,Walker-Nelson,2024-02-01,840,1191944545697296,withdrawal,2289310341316470,2024-02-03,Holly Wood,48,124,316.12,6074,iLMbCrOEjW,2024-02,-316.12,credit,Titanium,1.0
829,Henderson-Hinton,2024-09-01,840,7671377188626395,purchase,2665719182619905,2024-09-01,Victor Young,40,504,436.04,4179,NzFbJaJYMD,2024-09,-436.04,credit,Titanium,1.0
830,"Frazier, Scott and Bell",2024-01-04,840,6783055737138874,top up,2298516048175493,2024-01-06,Mark Watson,57,978,1891.43,9946,reGmZMZGth,2024-01,1891.43,debit,Titanium,1.0
831,Sparks and Sons,2024-01-11,840,3461446627633041,payroll,2373478536988168,2024-01-13,Kevin Johnson,20,French Guiana,1910.99,8605,khckziDczz,2024-01,1910.99,debit,Silver,
832,"Guzman, Brown and Larsen",2023-12-22,840,4215248319686364,purchase,5299353875842827,2023-12-23,John Figueroa,41,978,243.14,2484,wHgXoaJIKJ,2023-12,-243.14,credit,Platinum,0.75
833,"Ballard, Rivera and Torres",2023-10-05,840,6896987036883004,purchase,5540415747338487,2023-10-06,Breanna Gilbert,67,124,346.5,8839,MVEqVgJwAp,2023-10,-346.5,credit,Gold,0.5
834,Schaefer Group,2023-05-22,840,6315922912706593,payroll,5577167014508997,2023-05-24,Tyler Marks,45,840,5235.4,9059,ncRwUyWRzg,2023-05,5235.4,debit,Platinum,0.75
835,"Kelly, Harris and Pruitt",2024-08-12,840,6291187228247183,purchase,2706801128059825,2024-08-13,Andrew Diaz,64,124,652.88,5641,JqXKmCIQsB,2024-08,-652.88,credit,Gold,0.5
836,"Williams, Juarez and Sloan",2024-04-23,840,9607578984974997,purchase,2707814141397550,2024-04-23,Matthew Garcia,68,504,210.94,0187,kAPZcbhOWn,2024-04,-210.94,credit,Titanium,1.0
837,Oneal-Martinez,2024-04-07,840,2171148656581898,payroll,2238721489513433,2024-04-08,Brittany Williams,22,840,1072.99,3444,qiMMczErQv,2024-04,1072.99,debit,Platinum,0.75
838,"Barrera, Morales and Rangel",2024-04-02,840,7356316312975572,refund,2234192832764830,2024-04-03,Sarah Parsons,64,840,61.52,2406,jYXihuwNMB,2024-04,-61.52,credit,Titanium,1.0
839,Taylor-Randolph,2025-03-18,840,6949637881193899,purchase,5389490580778796,2025-03-19,Jennifer Yu,26,978,276.3,2221,MavpnOPQsC,2025-03,-276.3,credit,Platinum,0.75
840,"Perez, Smith and Rivas",2023-11-07,840,0130716753216336,purchase,5147476484559393,2023-11-09,Christopher Charles,21,Svalbard & Jan Mayen Islands,1174.26,2455,ngkSMdaVpz,2023-11,-1174.26,credit,Gold,0.5
841,Spencer-Jackson,2024-10-16,840,9854900490372954,purchase,5521173277264887,2024-10-16,Lisa Peters,69,Rwanda,144.16,9425,iTugzhGuFx,2024-10,-144.16,credit,Silver,
842,West Inc,2024-08-30,840,5639981274392255,payroll,5264256908776618,2024-08-31,April Finley,39,978,6047.1,5910,xtMfqCDtrE,2024-08,6047.1,debit,Titanium,1.0
843,Fowler-Kelly,2023-11-05,840,5814762123601863,purchase,5217046226567668,2023-11-05,Victor Baxter,70,978,528.43,2478,UVUshYDhwL,2023-11,-528.43,credit,Titanium,1.0
844,"Shaffer, Duncan and Gonzalez",2023-12-30,840,1384531563093079,purchase,2269329668516128,2023-12-31,Mrs. Taylor Smith,45,840,907.16,4930,voFGIbomhH,2023-12,-907.16,credit,Titanium,1.0
845,Miller-Cobb,2023-10-27,840,9096459872408992,purchase,5346591166553552,2023-10-29,Allison Torres,57,124,908.38,3389,lBcGEGIlZJ,2023-10,-908.38,credit,Platinum,0.75
846,Bauer-Castillo,2023-07-03,840,5166811339736707,top up,2702513534655492,2023-07-04,Samuel Ruiz,31,124,1846.7,7304,JBluReulhC,2023-07,1846.7,debit,Titanium,1.0
847,Ortiz-Decker,2024-10-29,840,4024222419830632,payroll,2700913431611725,2024-10-30,Stephanie Williams,47,504,3627.3,3537,ZZYGdgGKgw,2024-10,3627.3,debit,Titanium,1.0
848,"Mendoza, Carter and Booth",2024-04-04,840,0181444248420243,purchase,2422332061632942,2024-04-05,Nicholas Aguirre,46,504,126.24,7177,VykLZzLeto,2024-04,-126.24,credit,Titanium,1.0
849,Patel PLC,2023-08-06,840,7651186156409941,purchase,2236299946645090,2023-08-06,Laurie Johnson,66,Argentina,646.17,5739,bIoRTvkgTf,2023-08,-646.17,credit,Gold,0.5
850,"Ortiz, Boyd and Conway",2024-07-03,840,3705424519082611,purchase,2274494812604221,2024-07-03,Michael Poole,22,978,721.28,2464,VGXHtNWQNU,2024-07,-721.28,credit,Gold,0.5
851,"Wood, Jackson and Bartlett",2024-04-30,840,5942992023766696,purchase,5385188888067060,2024-05-01,Mrs. Alexis Kramer,56,124,951.56,5759,wWHiHVhLdl,2024-04,-951.56,credit,Platinum,0.75
852,Alexander PLC,2023-08-30,840,3386194118390934,top up,2339174101194703,2023-08-30,Brittany Bowman,69,978,5.22,7891,itHImOMCfD,2023-08,5.22,debit,Gold,0.5
853,Christensen-Rice,2023-05-22,840,4066283463348893,payroll,5494096105566137,2023-05-24,Sarah Mcfarland,25,504,1369.0,9853,lTCiCZiZcB,2023-05,1369.0,debit,Titanium,1.0
854,Ray-Clay,2023-12-10,840,1866940865424382,purchase,5323038856811939,2023-12-11,Victoria Flowers,34,Belgium,498.56,0992,gCDKdxujJB,2023-12,-498.56,credit,Silver,
855,Richards-Walker,2025-04-28,840,5074350952889594,top up,2235020802144270,2025-04-28,Crystal Hernandez,28,840,2120.58,5158,IWbWUDVaXQ,2025-04,2120.58,debit,Gold,0.5
856,Lucas LLC,2024-01-04,840,9696453591765047,refund,2273260119391031,2024-01-04,Kim Farrell,48,Lebanon,1243.58,5136,cKdSHuIZgG,2024-01,-1243.58,credit,Platinum,0.75
857,Williams LLC,2024-11-18,840,0099542887344966,payroll,2254989266591844,2024-11-20,Terry Black,51,840,2394.4,3710,sTuPHlydLz,2024-11,2394.4,debit,Gold,0.5
858,Gray Group,2024-05-30,840,9899470617069014,payroll,2422332061632942,2024-05-31,Nicholas Aguirre,46,504,9110.6,8087,tvAprEOOpC,2024-05,9110.6,debit,Titanium,1.0
859,"Brown, Smith and Cook",2023-11-14,840,3847156756650518,purchase,2535454948083133,2023-11-14,Katherine Chang,33,504,26.21,5615,OsCQpfPvyy,2023-11,-26.21,credit,Titanium,1.0
860,"Freeman, Lopez and Reed",2023-11-12,840,6744923435969850,purchase,5352621815997065,2023-11-12,Carmen Preston,61,978,502.64,1164,pzRNcQiGpE,2023-11,-502.64,credit,Platinum,0.75
861,"Vega, Jones and Barry",2023-07-03,840,6693754024286178,purchase,2527028966605348,2023-07-03,Bradley Aguirre,35,Equatorial Guinea,951.98,9753,vIOtAqcxhc,2023-07,-951.98,credit,Gold,0.5
862,"Castro, Smith and Henry",2023-10-04,840,4025038576264816,purchase,2557177514010510,2023-10-05,Carly Riggs,49,840,246.86,3042,FAnBiGgqOq,2023-10,-246.86,credit,Platinum,0.75
863,Chavez-Rice,2024-10-17,840,9368063585301012,purchase,2264375758441987,2024-10-19,William Cardenas,27,504,602.57,9395,YnbKAKZcAF,2024-10,-602.57,credit,Titanium,1.0
864,Neal-Valencia,2024-03-18,840,1930485277586703,purchase,5253021465669389,2024-03-19,Michael Calhoun,65,124,1020.4,9092,lGIWrNGDWr,2024-03,-1020.4,credit,Titanium,1.0
865,Webster-Bell,2025-03-17,840,3634443946896331,purchase,2249264422096908,2025-03-17,Evan Lamb,56,504,7.28,3587,iFhDrmbPBZ,2025-03,-7.28,credit,Titanium,1.0
866,"Galloway, Mccormick and Todd",2024-07-13,840,3576170731744577,purchase,2246392649578235,2024-07-13,Lauren Sutton,35,840,792.67,4034,nLGWHeGFnJ,2024-07,-792.67,credit,Titanium,1.0
867,Lee-Petersen,2023-08-06,840,6367850898977475,purchase,2575833364770417,2023-08-07,Adam Smith,29,United States Minor Outlying Islands,108.5,6028,iziwqYkcqe,2023-08,-108.5,credit,Platinum,0.75
868,Huffman and Sons,2024-09-30,840,4852953774037676,purchase,5327975736609650,2024-10-01,Todd Armstrong,48,504,176.49,1905,CDiarWrebd,2024-09,-176.49,credit,Platinum,0.75
869,"Simpson, Vargas and Padilla",2024-11-10,840,2076751497534115,purchase,2286856624628737,2024-11-10,Elizabeth Zimmerman,45,978,54.93,1932,rxXpJPedNE,2024-11,-54.93,credit,Platinum,0.75
870,"Collins, Blevins and Mclean",2024-11-16,840,0990009406565823,purchase,2713852580010617,2024-11-16,Melissa Bell,61,124,353.39,2487,bLUVJEjVyq,2024-11,-353.39,credit,Gold,0.5
871,"Russell, White and Brooks",2025-03-13,840,3856535232660004,purchase,2623076810409154,2025-03-14,Angel Meyer,50,504,401.02,7422,saqSPRnlAg,2025-03,-401.02,credit,Gold,0.5
872,"Poole, Williams and Lee",2023-08-02,840,1034956119989965,purchase,5437213865890264,2023-08-04,Abigail Davis,63,978,785.48,6861,SyndEajIzC,2023-08,-785.48,credit,Titanium,1.0
873,Marshall-Jacobs,2023-05-18,840,8374661447761868,purchase,2221200953662199,2023-05-18,Jason Stephens,23,Antarctica (the territory South of 60 deg S),74.18,0017,pivZKabZDn,2023-05,-74.18,credit,Platinum,0.75
874,Davis-Goodwin,2024-08-30,840,9666829052565995,top up,5404332181960012,2024-08-31,Jonathan Johnson,54,840,17.58,0722,fgnIyKcVGE,2024-08,17.58,debit,Platinum,0.75
875,Rios Group,2025-03-28,840,4233029276405473,purchase,2350948014138111,2025-03-30,Kim Lopez,51,978,948.2,2210,ZquTXrVAYh,2025-03,-948.2,credit,Titanium,1.0
876,Hudson PLC,2024-05-30,840,1405131866047473,purchase,5352621815997065,2024-05-30,Carmen Preston,61,978,480.66,1707,qtpAdjoWts,2024-05,-480.66,credit,Platinum,0.75
877,White and Sons,2025-03-06,840,7852474420359441,purchase,2712086780856278,2025-03-06,Melissa Stevens,24,840,73.44,1602,vlnLrWfjUQ,2025-03,-73.44,credit,Titanium,1.0
878,Aguilar LLC,2024-11-28,840,3873518664774131,purchase,2562126796927860,2024-11-30,Joanna Kelly,66,124,1041.74,7726,NbnRlAPOwu,2024-11,-1041.74,credit,Platinum,0.75
879,Anderson Inc,2024-03-02,840,0258534658153988,purchase,5432761794802458,2024-03-04,Heather Fernandez,41,Bouvet Island (Bouvetoya),53.17,9158,LfkZBIzWSs,2024-03,-53.17,credit,Silver,
880,"Lang, Dyer and Scott",2024-11-29,840,7895599098412865,purchase,2290607159696647,2024-12-01,Alex Nguyen,38,840,266.61,8686,inDydaGHrt,2024-11,-266.61,credit,Titanium,1.0
881,Johnson-Curry,2024-04-29,840,7592383193489180,payroll,2229182688615332,2024-04-29,Erin Carter,53,124,1631.3,8965,sXKNFRDKfT,2024-04,1631.3,debit,Gold,0.5
882,Williams PLC,2023-12-30,840,4634292421959730,top up,5589861434103696,2024-01-01,Brian Stein,41,840,164.85,8369,UOimYuorIr,2023-12,164.85,debit,Platinum,0.75
883,Gonzalez Ltd,2023-07-01,840,8527341146133155,purchase,2664708213986541,2023-07-01,Charles Foley,65,Chile,2.22,7205,vanWnadbbJ,2023-07,-2.22,credit,Silver,
884,Wright-Carter,2024-06-17,840,3030440778110965,payroll,2235615951484656,2024-06-17,Edward Martinez,26,504,8157.0,7123,hNaaHHKXXK,2024-06,8157.0,debit,Titanium,1.0
885,King Group,2023-07-19,840,5766345418299126,purchase,2279180339740144,2023-07-21,Kristy Johnson,66,124,1015.41,0091,yKWVOjpiRF,2023-07,-1015.41,credit,Titanium,1.0
886,"Coleman, Cooke and Price",2025-03-14,840,0641910616691008,purchase,2237989790608546,2025-03-15,Sarah Miller,56,Timor-Leste,574.48,0009,LGrRopBhgU,2025-03,-574.48,credit,Gold,0.5
887,Benton Inc,2025-02-17,840,2168268221756269,top up,2280229612018368,2025-02-19,Glen Wood,58,124,64.34,1815,fQMJPxSqvG,2025-02,64.34,debit,Gold,0.5
888,"Mccarty, Parker and Kaufman",2023-08-28,840,8347910059325722,top up,5286353654195186,2023-08-28,Amy Walker,53,124,489.42,3401,xnuWprAAbC,2023-08,489.42,debit,Titanium,1.0
889,Harding-Lawson,2024-01-15,840,2200748597243871,purchase,2263283096520747,2024-01-15,Jason Price,32,978,150.15,4494,zBCjTdgdJi,2024-01,-150.15,credit,Titanium,1.0
890,"Le, Patrick and Mccarthy",2023-12-04,840,5205802860604802,purchase,2274494812604221,2023-12-04,Michael Poole,22,978,432.2,8182,iPoGCMXsaj,2023-12,-432.2,credit,Gold,0.5
891,Taylor-Schmidt,2025-04-01,840,6547476950904189,purchase,2284629148652810,2025-04-02,Jessica Cox,31,978,510.9,8174,SuiDoYwOmA,2025-04,-510.9,credit,Titanium,1.0
